--- Starting fine-tuning for model_type: t5 ---
Model configured with LoRA:
trainable params: 294912 || all params: 60801536 || trainable%: 0.49
Starting training...
{'loss': '9.929', 'grad_norm': '0.7812', 'learning_rate': '0.0001853', 'epoch': '0.07422'}
{'loss': '9.647', 'grad_norm': '1.378', 'learning_rate': '0.0001852', 'epoch': '0.07482'}
{'loss': '8.838', 'grad_norm': '0.8733', 'learning_rate': '0.000185', 'epoch': '0.07543'}
{'loss': '9.857', 'grad_norm': '0.7475', 'learning_rate': '0.0001849', 'epoch': '0.07603'}
{'loss': '10.2', 'grad_norm': '1.101', 'learning_rate': '0.0001848', 'epoch': '0.07663'}
{'loss': '8.344', 'grad_norm': '0.8693', 'learning_rate': '0.0001847', 'epoch': '0.07724'}
{'loss': '9.511', 'grad_norm': '0.9142', 'learning_rate': '0.0001846', 'epoch': '0.07784'}
{'loss': '10.39', 'grad_norm': '0.9669', 'learning_rate': '0.0001844', 'epoch': '0.07844'}
{'loss': '9.434', 'grad_norm': '0.6913', 'learning_rate': '0.0001843', 'epoch': '0.07905'}
{'loss': '8.982', 'grad_norm': '0.9561', 'learning_rate': '0.0001842', 'epoch': '0.07965'}
{'loss': '8.275', 'grad_norm': '1.151', 'learning_rate': '0.0001841', 'epoch': '0.08025'}
{'loss': '8.634', 'grad_norm': '1.139', 'learning_rate': '0.000184', 'epoch': '0.08086'}
{'loss': '9.597', 'grad_norm': '0.8797', 'learning_rate': '0.0001838', 'epoch': '0.08146'}
{'loss': '7.25', 'grad_norm': '0.9441', 'learning_rate': '0.0001837', 'epoch': '0.08206'}
{'loss': '9.006', 'grad_norm': '0.9999', 'learning_rate': '0.0001836', 'epoch': '0.08267'}
{'loss': '8.676', 'grad_norm': '0.7902', 'learning_rate': '0.0001835', 'epoch': '0.08327'}
{'loss': '8.547', 'grad_norm': '0.9256', 'learning_rate': '0.0001834', 'epoch': '0.08387'}
{'loss': '8.327', 'grad_norm': '1.704', 'learning_rate': '0.0001832', 'epoch': '0.08448'}
{'loss': '10.08', 'grad_norm': '1.152', 'learning_rate': '0.0001831', 'epoch': '0.08508'}
{'loss': '8.609', 'grad_norm': '1.128', 'learning_rate': '0.000183', 'epoch': '0.08568'}
{'loss': '10.03', 'grad_norm': '1.191', 'learning_rate': '0.0001829', 'epoch': '0.08629'}
{'loss': '7.475', 'grad_norm': '0.8726', 'learning_rate': '0.0001828', 'epoch': '0.08689'}
{'loss': '10.23', 'grad_norm': '1.051', 'learning_rate': '0.0001826', 'epoch': '0.08749'}
{'loss': '8.497', 'grad_norm': '1.112', 'learning_rate': '0.0001825', 'epoch': '0.0881'}
{'loss': '7.365', 'grad_norm': '1.355', 'learning_rate': '0.0001824', 'epoch': '0.0887'}
{'loss': '10.49', 'grad_norm': '1.203', 'learning_rate': '0.0001823', 'epoch': '0.0893'}
{'loss': '8.893', 'grad_norm': '1.07', 'learning_rate': '0.0001821', 'epoch': '0.08991'}
{'loss': '9.962', 'grad_norm': '1.004', 'learning_rate': '0.000182', 'epoch': '0.09051'}
{'loss': '7.702', 'grad_norm': '0.9403', 'learning_rate': '0.0001819', 'epoch': '0.09111'}
